,Quarter,Time,Tm,Detail,SDG,CLE
0,1.0,8:37,Browns,Mohamed Massaquoi 11 yard pass from Brady Quinn (Phil Dawson kick),0,7
1,1.0,2:59,Chargers,Nate Kaeding 32 yard field goal,3,7
2,1.0,0:45,Chargers,Mike Tolbert 66 yard pass from Philip Rivers (Nate Kaeding kick),10,7
3,2.0,0:00,Chargers,Nate Kaeding 42 yard field goal,13,7
4,3.0,10:30,Chargers,Darren Sproles 31 yard pass from Philip Rivers (Nate Kaeding kick),20,7
5,3.0,5:58,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),27,7
6,4.0,9:15,Browns,Jerome Harrison 8 yard pass from Brady Quinn (Phil Dawson kick),27,14
7,4.0,4:12,Chargers,Nate Kaeding 22 yard field goal,30,14
8,4.0,1:55,Browns,Jerome Harrison 8 yard pass from Brady Quinn (run failed),30,20
9,4.0,0:39,Browns,Phil Dawson 49 yard field goal,30,23
