,Quarter,Time,Tm,Detail,MIN,WAS
0,1.0,11:31,Vikings,Blair Walsh 20 yard field goal,3,0
1,1.0,6:18,Vikings,Blair Walsh 27 yard field goal,6,0
2,1.0,1:47,Vikings,Blair Walsh 27 yard field goal,9,0
3,2.0,10:51,Redskins,Kai Forbath 50 yard field goal,9,3
4,2.0,2:27,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),9,10
5,2.0,2:14,Redskins,Darrel Young 6 yard pass from Robert Griffin III (Kai Forbath kick),9,17
6,3.0,9:37,Redskins,Robert Griffin III 7 yard rush (Kai Forbath kick),9,24
7,3.0,4:18,Vikings,Blair Walsh 37 yard field goal,12,24
8,4.0,12:40,Redskins,Madieu Williams 24 yard interception return (Kai Forbath kick),12,31
9,4.0,8:02,Vikings,Michael Jenkins 9 yard pass from Christian Ponder (Kyle Rudolph pass from Christian Ponder),20,31
10,4.0,3:36,Vikings,Kyle Rudolph 1 yard pass from Christian Ponder (pass failed),26,31
11,4.0,2:43,Redskins,Robert Griffin III 76 yard rush (Kai Forbath kick),26,38
